LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
213800ZI4I5GUO23WF13,THE ROSENBERG MEMORIAL FUND,N/A,N/A,"['C/O MACFARLANES LLP', '20 CURSITOR STREET']",GB,EC4A 1LT,"['C/O MACFARLANES LLP', '20 CURSITOR STREET']",GB,EC4A 1LT,RA000589,1161777,GENERAL,GB,ACTIVE,2017-12-26T00:00:00Z
213800ZI33PLR1UDUQ58,ANNE BROOKS TRUST 2013,N/A,N/A,['7 DOLLAR STREET'],GB,GL7 2AS,['7 DOLLAR STREET'],GB,GL7 2AS,RA999999,,GENERAL,GB,ACTIVE,2017-09-13T00:00:00Z
213800ZI3XC3WS6S1Y78,CRONGAN LIMITED,N/A,N/A,['8 ST GEORGES ST'],IM,IM1 1AH,['8 ST GEORGES ST'],IM,IM1 1AH,RA000405,005217C,GENERAL,IM,ACTIVE,2017-12-18T00:00:00Z
213800ZI3FQW797IVA51,JWT TAPP LEGACY FUND,N/A,N/A,"['115 THE CHANDLERY, 50 WESTMINSTER BRIDGE ROAD']",GB,SE1 7QY,"['115 THE CHANDLERY, 50 WESTMINSTER BRIDGE ROAD']",GB,SE1 7QY,RA999999,,GENERAL,GB,ACTIVE,2017-12-25T00:00:00Z
213800ZI3VO3OVB3O191,THE ROGER MURRAY BROWN DECEASED WILL TRUST,N/A,N/A,"['4 GABLES CLOSE', 'DESFORD']",GB,LE9 9JA,"['4 GABLES CLOSE', 'DESFORD']",GB,LE9 9JA,RA999999,,GENERAL,GB,ACTIVE,2018-02-27T00:00:00Z
213800ZI3QMXEIT6GY18,ALAN ARTHUR VURLAN TRUST 2,N/A,N/A,"['53 BODMIN RISE', 'PARK HALL']",GB,WS5 3HY,"['53 BODMIN RISE', 'PARK HALL']",GB,WS5 3HY,RA999999,,GENERAL,GB,ACTIVE,2023-07-07T00:00:00Z
213800ZI3LPDNUGUV984,THE ANSTEY FAMILY TRUST,N/A,N/A,"['16 KEEBLE CLOSE', 'TIPTREE']",GB,CO5 0NU,"['16 KEEBLE CLOSE', 'TIPTREE']",GB,CO5 0NU,RA999999,,GENERAL,GB,ACTIVE,2021-11-17T00:00:00Z
213800ZI4JX28PB4G371,THE KANE PENSION FUND,N/A,N/A,"['FOUNDERS COURT', 'LOTHBURY']",GB,EC2R 7HE,"['FOUNDERS COURT', 'LOTHBURY']",GB,EC2R 7HE,RA000591,00300987RH,GENERAL,GB,ACTIVE,2017-11-03T00:00:00Z
213800ZI3K9BSNPFVY98,S J WRIGHT DISCRETIONARY TRUST 08/17,N/A,N/A,['5 HOWARD DRIVE'],GB,CM2 6PE,['5 HOWARD DRIVE'],GB,CM2 6PE,RA888888,6102987494,GENERAL,GB,ACTIVE,2023-07-21T00:00:00Z
213800ZI31K6Q4EJMH47,DEUTSCHE MORGAN GRENFELL RETIREMENT INVESTMENT SCHEME (008),N/A,N/A,"['C/O GUINNESS MAHON TRUST CORPORATION LIMITED', '25 MOORGATE']",GB,EC2R 6AY,"['C/O GUINNESS MAHON TRUST CORPORATION LIMITED', '25 MOORGATE']",GB,EC2R 6AY,RA999999,,GENERAL,GB,ACTIVE,2018-06-12T00:00:00Z
