LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
213800NBNYW9P9NGPF52,ANDELSBOLIGFORENINGEN DANNEVIRKE,N/A,N/A,"['C/O EJENDOMSADMINISTRATIONEN 4 B A/S', 'STORE KONGENSGADE 67 B']",DK,1264,"['C/O EJENDOMSADMINISTRATIONEN 4 B A/S', 'STORE KONGENSGADE 67 B']",DK,1264,RA000170,20180641,GENERAL,DK,ACTIVE,2014-06-17T00:00:00Z
213800NBODWERMXEZJ14,THE MAILAFRICA LIMITED FUNDED UNAPPROVED RETIREMENT BENEFIT TRUST,N/A,N/A,"['BROADLANDS FARM ,BAGSHOT ROAD']",GB,SL5 9JN,"['BROADLANDS FARM ,BAGSHOT ROAD']",GB,SL5 9JN,RA999999,,GENERAL,GB,ACTIVE,2018-02-07T00:00:00Z
213800NBOVXQ5EWD6E94,JOHN R. ADAM & SONS LIMITED,N/A,N/A,"['RIVERSIDE BERTH, KING GEORGE V DOCK', 'RENFREW ROAD']",GB,G51 4SD,"['RIVERSIDE BERTH, KING GEORGE V DOCK', 'RENFREW ROAD']",GB,G51 4SD,RA000587,SC030140,GENERAL,GB,ACTIVE,2014-04-24T00:00:00Z
213800NBOBF12FSJ5D90,M.T.B.W. NOMINEES LIMITED,N/A,N/A,['190 ST VINCENT STREET'],GB,G2 5SP,['190 ST VINCENT STREET'],GB,G2 5SP,RA000587,SC126088,GENERAL,GB,ACTIVE,2022-11-01T00:00:00Z
213800NBNYNIEQ6N4L97,"SHEPHERD, RK & H SETTLEMENT FOR THOMAS SHEPHERD (S178)",N/A,N/A,"['MENCAP NATIONAL CENTRE, 123 GOLDEN LANE']",GB,EC1Y 0RT,"['MENCAP NATIONAL CENTRE, 123 GOLDEN LANE']",GB,EC1Y 0RT,RA999999,,GENERAL,GB,ACTIVE,2017-09-14T00:00:00Z
213800NBNVZWC4QJJX37,UNITED BRANDS OF SHISHA BIDCO LIMITED,N/A,N/A,"['EIGHTH FLOOR, 6 NEW STREET SQUARE', 'NEW FETTER LANE']",GB,EC4A 3AQ,"['EIGHTH FLOOR, 6 NEW STREET SQUARE', 'NEW FETTER LANE']",GB,EC4A 3AQ,RA000585,12227599,GENERAL,GB,ACTIVE,2019-10-07T00:00:00Z
213800NBO899WD2XKR39,P.D.R. GARD LIMITED,N/A,N/A,"['Pinnacle House', '1 Pinnacle Way']",GB,DE24 8ZS,['5 Glebe Way'],GB,CO13 9HR,RA000585,06699308,GENERAL,GB,ACTIVE,2017-12-02T00:00:00Z
213800NBQEYRTVB6JF29,THE ROBERT JERSEY TRUST,N/A,N/A,['44 ESPLANADE'],JE,JE4 9WG,['44 ESPLANADE'],JE,JE4 9WG,RA999999,,GENERAL,JE,ACTIVE,2017-12-29T00:00:00Z
213800NBQ117IZGK6Z85,MIDDLESEX GROUP SSAS,N/A,N/A,"['C/O MATTIOLI WOODS PLC', '1 NEW WALK PLACE']",GB,LE1 6RU,"['C/O MATTIOLI WOODS PLC', '1 NEW WALK PLACE']",GB,LE1 6RU,RA888888,00782057RF,GENERAL,GB,ACTIVE,2018-01-16T00:00:00Z
213800NBOCEERQA3RF44,DARE POWER LTD,894500USWHSFRKHOC250,DARE INTERNATIONAL LTD,['43-45 DORSET STREET'],GB,W1U 7NA,"['1ST FLOOR, 17 CROSSWALL', 'ONE AMERICA SQUARE']",GB,EC3N 2LS,RA000585,13381297,GENERAL,GB,ACTIVE,2021-06-02T00:00:00Z
