LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
213800DG132V3IQBLE61,HUNTER LODGE PENSION SCHEME,N/A,N/A,"['STANDARD LIFE ADMINISTRATION UNIT', 'C/O ROWANMOOR EXECUTIVE PENSIONS LIMITED', 'Rowanmoor House, 46-50 Castle Street']",GB,SP1 3TS,"['STANDARD LIFE ADMINISTRATION UNIT', 'C/O ROWANMOOR EXECUTIVE PENSIONS LIMITED', 'Rowanmoor House, 46-50 Castle Street']",GB,SP1 3TS,RA999999,,GENERAL,GB,ACTIVE,2020-03-20T00:00:00Z
213800DFZSDVSWBSXN61,THE D R GLIKSTEN 1967 SETTLEMENT,N/A,N/A,"['C/O IQ EQ (NTC) TRUSTEES (JERSEY) LIMITED', '2ND FLOOR, GASPÉ HOUSE', '66-72 Esplanade']",JE,JE1 1GH,"['C/O IQ EQ (NTC) TRUSTEES (JERSEY) LIMITED', '2ND FLOOR, GASPÉ HOUSE', '66-72 Esplanade']",JE,JE1 1GH,RA999999,,GENERAL,JE,ACTIVE,2017-11-08T00:00:00Z
213800DG1BRNHQD3VO14,Hvide Sande Andelsboligforening 2,N/A,N/A,['Østergade 19'],DK,6960,['Østergade 19'],DK,6960,RA000170,32383254,GENERAL,DK,ACTIVE,2014-05-07T00:00:00Z
213800DFYNJTRJUKRT04,JAFS INVESTMENTS LIMITED,N/A,N/A,['22 CHANCERY LANE'],GB,WC2A 1LS,['22 CHANCERY LANE'],GB,WC2A 1LS,RA000585,11298290,GENERAL,GB,ACTIVE,2018-06-18T00:00:00Z
213800DFZ8NM2RZLTI76,SOUTH LINCS (CONSTRUCTION) LIMITED EXECUTIVE PENSION SCHEME,N/A,N/A,"['C/O BARNETT WADDINGHAM LLP', 'DECIMAL PLACE, CHILTERN AVENUE']",GB,HP6 5FG,"['DORMA HOUSE', 'MONKS HOUSE LANE']",GB,PE11 3LH,RA000591,10046820,GENERAL,GB,INACTIVE,2017-12-22T00:00:00Z
213800DFZ72ER3YT3S06,FREDA ASHMORE MEMORIAL FUND,N/A,N/A,"['SOMERS BAKER PRINCE KURZ', '45 EALING ROAD']",GB,HA0 4BA,"['SOMERS BAKER PRINCE KURZ', '45 EALING ROAD']",GB,HA0 4BA,RA000589,1025539,GENERAL,GB,ACTIVE,2017-09-21T00:00:00Z
213800DFZYHYDNX3M571,ELITE FINANCIAL CONSULTING LTD,N/A,N/A,"['821 BATH ROAD', 'BRISLINGTON']",GB,BS4 5NL,"['821 BATH ROAD', 'BRISLINGTON']",GB,BS4 5NL,RA000592,529009,GENERAL,GB,ACTIVE,2022-12-07T00:00:00Z
213800DG1NV3KEVDRU79,DECO 8 - UK CONDUIT 2 PLC,N/A,N/A,"['WINCHESTER HOUSE', '1 GREAT WINCHESTER STREET']",GB,EC2N 2DB,"['PINNACLE 2', 'EASTPOINT BUSINESS PARK, CLONTARF']",IE,3,RA000585,05745698,GENERAL,GB,INACTIVE,2013-11-15T00:00:00Z
213800DG1YJLXC1QIV17,AUDREY JOAN BARNARD DISCRETIONARY TRUST,N/A,N/A,"['1 TURNBALL PLACE', 'INGLES ROAD']",GB,CT20 2DE,"['1 TURNBALL PLACE', 'INGLES ROAD']",GB,CT20 2DE,RA999999,,GENERAL,GB,ACTIVE,2018-01-03T00:00:00Z
213800DG1MV8UBI5N372,THE JOHN PELLOWE SETTLEMENT,N/A,N/A,"['26 DOBCROFT ROAD', 'MILL HOUSE']",GB,S7 2LR,"['26 DOBCROFT ROAD', 'MILL HOUSES']",GB,S7 2LR,RA999999,,GENERAL,GB,ACTIVE,2017-11-01T00:00:00Z
213800DG1EHBBE1TSC72,THE PHOEBE ELLEN LOUISE ROBINSON TRUST,N/A,N/A,['23 ELDERBERRY ROAD'],GB,IP28 8FH,['23 ELDERBERRY ROAD'],GB,IP28 8FH,RA999999,,GENERAL,GB,ACTIVE,2017-12-15T00:00:00Z
213800DFZ6GUUSSKFP83,DESIGN HOME GIFT & PAPER INC.,N/A,N/A,"['1250A REID STREET', 'SUITE 2']",CA,L4B 1G3,['7580 BATH ROAD'],CA,L4T 1L2,RA000079,881159909,GENERAL,CA-ON,ACTIVE,2014-10-09T00:00:00Z
213800DFZYLASILTEI82,MRS ISABELLA ROSE THOMSON TRUST 245702,N/A,N/A,"['UK TRUST CENTRE', 'THE CLOCK HOUSE', '22/26 OCK STREET']",GB,OX14 5SW,"['UK TRUST CENTRE', 'THE CLOCK HOUSE', '22/26 OCK STREET']",GB,OX14 5SW,RA999999,,GENERAL,GB,ACTIVE,2017-10-13T00:00:00Z
213800DG1XTPXU7NHN16,NEXTLINKS LIMITED,213800S5B4LMVPTEA158,NATWEST TRUSTEE AND DEPOSITARY SERVICES LIMITED,['250 BISHOPSGATE'],GB,EC2M 4RB,['250 BISHOPSGATE'],GB,EC2M 4RB,RA000585,03968648,GENERAL,GB,ACTIVE,2017-07-21T00:00:00Z
213800DG1F3PCKY53K79,THE MORRIS 2021 DISCRETIONARY SETTLEMENT,N/A,N/A,"['PORT FIELDS', 'PORT LANE', 'ABBOTS BROMLEY']",GB,WS15 3DX,"['PORT FIELDS', 'PORT LANE', 'ABBOTS BROMLEY']",GB,WS15 3DX,RA999999,,GENERAL,GB,ACTIVE,2021-04-14T00:00:00Z
213800DG3ANLHLW2V236,TENNANT TRUST,N/A,N/A,['6 LONSDALE SQUARE'],GB,N1 1EN,['6 LONSDALE SQUARE'],GB,N1 1EN,RA999999,,GENERAL,GB,ACTIVE,2017-12-14T00:00:00Z
213800DG33NKD34PVX65,THE COOKSON 2014 FAMILY TRUST,N/A,N/A,['49 CHANDOS AVE'],GB,N20 9EE,"['COUNTY HOUSE', 'CORNWALL AVE']",GB,N3 1LH,RA999999,,GENERAL,GB,ACTIVE,2017-12-08T00:00:00Z
213800DG22UICXTGSM33,ANIMA BRIGHTVIEW IV,N/A,N/A,"[""78 SIR JOHN ROGERSON'S QUAY""]",IE,D02 RK57,"['C/O ANIMA SGR S.P.A.', 'CORSO GIUSEPPE GARIBALDI 99']",IT,20121,RA000404,C194879,FUND,IE,ACTIVE,2019-07-01T00:00:00Z
213800DG21YWSMW23W40,HIGHTOPS GOLD LIMITED,N/A,N/A,['13 CASTLE STREET'],JE,JE4 5UT,['13 CASTLE STREET'],JE,JE4 5UT,RA000414,79072,GENERAL,JE,INACTIVE,2017-12-15T00:00:00Z
213800DG253NAO6MHS02,TABULA CAPITAL LIMITED,N/A,N/A,['10 NORWICH STREET'],GB,EC4A 1BD,"['55 STRAND', '6TH FLOOR']",GB,WC2N 5LR,RA000585,12865422,GENERAL,GB,ACTIVE,2023-06-21T00:00:00Z
213800DG34IUCB4FKV32,THE KOOLKUNA TRUST,N/A,N/A,"['CAPITAL UNION BANK FINANCIAL CENTER', 'WESTERN ROAD, LYFORD CAY']",BS,,"['CAPITAL UNION BANK FINANCIAL CENTER', 'WESTERN ROAD, LYFORD CAY']",BS,,RA999999,,GENERAL,BS,ACTIVE,2022-01-20T00:00:00Z
213800DG2AX9GDHTLN10,B & M J RICHARDS DISCRETIONARY TRUST,N/A,N/A,['1 PINETUM CLOSE'],GB,SN10 5EW,['1 PINETUM CLOSE'],GB,SN10 5EW,RA999999,,GENERAL,GB,ACTIVE,2017-11-23T00:00:00Z
213800DG3VEBGD1WMW31,IVATRIA HOLDINGS LIMITED,N/A,N/A,"['THIRD FLOOR, 207 REGENT STREET']",GB,W1B 3HH,"['TELSCOMBE', 'WYFOLD LANE']",GB,RG9 5LR,RA000585,15240883,GENERAL,GB,ACTIVE,2024-04-09T00:00:00Z
213800DG2V9XO4ABW669,MRS N E QUINN DISCRETIONARY WILL TRUST,N/A,N/A,"['DEAN COTTAGE', '102 STOKE LANE']",GB,BS9 3RH,"['DEAN COTTAGE', '102 STOKE LANE']",GB,BS9 3RH,RA999999,,GENERAL,GB,ACTIVE,2017-12-28T00:00:00Z
213800DG2YDL37HWQB39,SCI GAZELEY SAINTE-MARIE DE REDON 1,N/A,N/A,['125 AVENUE DE CHAMPS-ELYSEES'],FR,75008,['125 AVENUE DE CHAMPS-ELYSEES'],FR,75008,RA000192,513 148 189,GENERAL,FR,ACTIVE,2016-03-22T00:00:00Z
213800DG4NSRH7EKJ137,EM ROGERS EXECUTIVE PENSION SCHEME,N/A,N/A,"['C/O BRUNEL TRUSTEES LIMITED', 'SUIT 1D', 'THE CRESCENT CENTRE', 'TEMPLE BACK']",GB,BS1 6EZ,"['C/O BRUNEL TRUSTEES LIMITED', 'SUIT 1D', 'THE CRESCENT CENTRE', 'TEMPLE BACK']",GB,BS1 6EZ,RA888888,00282948RJ,GENERAL,GB,ACTIVE,2017-11-15T00:00:00Z
213800DG4MN6DJ6BCA38,ROYAL INNISKILLING FUSILIERS (THE) CHARITABLE TRUST,N/A,N/A,"['REGIMENTAL MUSEUM, THE CASTLE', 'WELLINGTON PLACE']",GB,BT74 7HL,"['REGIMENTAL MUSEUM, THE CASTLE', 'WELLINGTON PLACE']",GB,BT74 7HL,RA000589,247494,GENERAL,GB,ACTIVE,2017-10-25T00:00:00Z
213800DG2M8QX22U6P30,BANK OF CEYLON (UK) LIMITED,254900QP6R03LS83RQ52,Bank of Ceylon,['1 Devonshire Square'],GB,EC2M 4WD,['1 Devonshire Square'],GB,EC2M 4WD,RA000585,06736473,GENERAL,GB,ACTIVE,2014-02-13T00:00:00Z
213800DG4A3UH79NSS70,THE BROOKS SANDRA FAMILY UK SETTLEMENT,N/A,N/A,['28 ELY PLACE'],GB,EC1N 6RL,['28 ELY PLACE'],GB,EC1N 6RL,RA999999,,GENERAL,GB,ACTIVE,2018-02-08T00:00:00Z
213800DG3XQI5OHDG690,MMC CAPITAL SOLUTIONS UK LIMITED,549300XMP3KDCKJXIU47,"MARSH & MCLENNAN COMPANIES, INC.","['1 TOWER PLACE WEST, TOWER PLACE']",GB,EC3R 5BU,"['1 TOWER PLACE WEST, TOWER PLACE']",GB,EC3R 5BU,RA000585,08728337,GENERAL,GB,ACTIVE,2022-01-18T00:00:00Z
213800DG5CNS2AO8Q526,TRC MARKETS LLC,N/A,N/A,"['C/O THE CORPORATION TRUST COMPANY', 'CORPORATION TRUST CENTER 1209 ORANGE ST']",US,19801,['710 JOHNNIE DODDS BLVD'],US,29464,RA000602,5443785,GENERAL,US-DE,ACTIVE,2019-05-15T00:00:00Z
213800DG58KG59XY6318,"""CƏNUB QAZ DƏHLİZİ"" QAPALI SƏHMDAR CƏMİYYƏTİ",N/A,N/A,"['73 NEFTCHILAR AVENUE', 'SABAIL DISTRICT']",AZ,AZ1095,"['121 HEYDAR ALIYEV AVENUE', 'SOCAR TOWER', '4TH FLOOR']",AZ,AZ1029,RA000019,1701605251,GENERAL,AZ,ACTIVE,2019-01-18T00:00:00Z
213800DG4XGKKR4OM948,VILLOCQ INVESTMENTS LIMITED,N/A,N/A,"['LE VILLOCQ HOUSE', 'LE VILLOCQ']",GG,GY5 7SA,"['LE VILLOCQ HOUSE', 'LE VILLOCQ']",GG,GY5 7SA,RA000777,42314,GENERAL,GG,ACTIVE,2022-07-13T00:00:00Z
213800DG5K8MBGBEFQ45,THE MIDDLETON FAMILY GDM DISCRETIONARY TRUST,N/A,N/A,['HIGH CLOSE HOUSE'],GB,NE41 8BL,['HIGH CLOSE HOUSE'],GB,NE41 8BL,RA999999,,GENERAL,GB,INACTIVE,2017-12-05T00:00:00Z
213800DG5PFN8YZH5M15,DEMPSEY HILL CAPITAL PTE. LTD.,N/A,N/A,"['8 EU TONG SEN STREET', '#21-82 THE CENTRAL']",SG,059818,"['8 EU TONG SEN STREET', '#21-82 THE CENTRAL']",SG,059818,RA000523,201130753Z,GENERAL,SG,INACTIVE,2016-07-13T00:00:00Z
213800DG5G9DFPI3XE46,THE W D CREES DISCRETIONARY TR,N/A,N/A,"['TRINITY QUAY', 'AVON STREET']",GB,BS2 0PT,"['TRINITY QUAY', 'AVON STREET']",GB,BS2 0PT,RA999999,,GENERAL,GB,ACTIVE,2017-11-14T00:00:00Z
213800DG571FSNMO2X02,INPERSCA LIMITED,N/A,N/A,['43 MELVILLE STREET'],GB,EH3 7JF,['43 MELVILLE STREET'],GB,EH3 7JF,RA000587,SC562564,GENERAL,GB,ACTIVE,2018-09-20T00:00:00Z
213800DG6DSP1G7FWW78,BLACK AND WHITE TRADING LTD,N/A,N/A,['23 TEMPLEMERE'],GB,KT13 9PA,['23 TEMPLEMERE'],GB,KT13 9PA,RA000585,07711181,GENERAL,GB,ACTIVE,2021-02-17T00:00:00Z
213800DG4TWGEXC5DR81,ANNIE HOWARD DISCRETIONARY SETTLEMENT,N/A,N/A,"['C/O HSBC TRUST COMPANY (UK) LIMITED', 'FORUM 1 PARKWAY WHITELEY']",GB,PO15 7PA,['8 CANADA SQUARE CANARY WHARF'],GB,E14 5HQ,RA999999,,GENERAL,GB,ACTIVE,2017-11-24T00:00:00Z
213800DG69M415IPQ774,ΘΕΣΣΠΑΚ ΑΝΩΝΥΜΟΣ ΒΙΟΤΕΧΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΥΛΙΚΩΝ ΣΥΣΚΕΥΑΣΙΑΣ ΚΑΙ ΠΛΑΣΤΙΚΩΝ ΕΙΔΩΝ,N/A,N/A,"['4KLM LAGADA-KAVALARIOU, LAGADA']",GR,57200,"['4KLM LAGADA-KAVALARIOU, LAGADA']",GR,57200,RA000685,059158604000,GENERAL,GR,ACTIVE,2018-12-12T00:00:00Z
213800DG55WBR5O5AG13,WIZZ AIR MALTA LIMITED,N/A,N/A,"['SKYPARKS BUSINESS CENTRE, LEVEL 2', 'MALTA INTERNATIONAL AIRPORT']",MT,LQA 4000,"['SKYPARKS BUSINESS CENTRE, LEVEL 2', 'MALTA INTERNATIONAL AIRPORT']",MT,LQA 4000,RA000443,C 102218,GENERAL,MT,ACTIVE,2023-01-30T00:00:00Z
213800DG6WIZICM6PH10,HUAWEI TECHNOLOGIES PHILS. INC.,N/A,N/A,"['53RD FLOOR, PBCOM TOWER', 'AYALA AVENUE COR. V.A RUFINO ST.', 'Salcedo Village']",PH,1227,"['53RD FLOOR, PBCOM TOWER', 'AYALA AVENUE COR. V.A RUFINO ST.', 'Salcedo Village']",PH,1227,RA000483,CS200260454,GENERAL,PH,ACTIVE,2022-06-01T00:00:00Z
213800DG77CIY86ZZE96,TILBURY ASPHALT PENSION SCHEME,N/A,N/A,"['ROMAN HOUSE', '296 GOLDERS GREEN ROAD']",GB,NW11 9PY,"['ROMAN HOUSE', '296 GOLDERS GREEN ROAD']",GB,NW11 9PY,RA999999,,GENERAL,GB,ACTIVE,2019-01-04T00:00:00Z
213800DG4W1W72MD3X46,HF-FORSIKRING G/S,N/A,N/A,['AHLGADE 41 - 43'],DK,4300,['AHLGADE 41 - 43'],DK,4300,RA000170,54698712,GENERAL,DK,ACTIVE,2015-04-23T00:00:00Z
