LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
213800FP5E5KMU1LKA36,THE UNITARIAN MEETING HOUSE BURY ST EDMUNDS,N/A,N/A,['44 COLLEGE STREET'],GB,IP33 1NL,['44 COLLEGE STREET'],GB,IP33 1NL,RA000589,1042818,GENERAL,GB,INACTIVE,2017-05-18T00:00:00Z
213800FP3BC7ELBHSY42,SCOTTISH SOLICITORS BENEVOLENT FUND,N/A,N/A,['166 BUCHANAN STREET'],GB,G1 2LW,['166 BUCHANAN STREET'],GB,G1 2LW,RA000590,SC000258,GENERAL,GB,ACTIVE,2017-11-07T00:00:00Z
213800FP3U76HCOSDI91,THE STEMAK TRUST,N/A,N/A,"['GENERAL WILLE-STRASSE 10', 'PO BOX 1688']",CH,8027,"['GENERAL WILLE-STRASSE 10', 'PO BOX 1688']",CH,8027,RA999999,,GENERAL,CH,ACTIVE,2017-12-05T00:00:00Z
213800FP3PPU1VDDBJ23,GMT REALISATION FUND L.P.,N/A,N/A,"['TRAFALGAR COURT', 'LES BANQUES', 'PO Box 255']",GG,GY1 3QL,"['TRAFALGAR COURT', 'LES BANQUES', 'PO Box 255']",GG,GY1 3QL,RA000383,2788,GENERAL,GG,INACTIVE,2017-12-26T00:00:00Z
213800FP52QLGNB9LI60,THE A M PULLAN 2005/1 DISCRETIONARY SETTLEMENT,N/A,N/A,"['THE CROFT', 'BREARY LANE', 'Bramhope']",GB,LS16 9AE,"['THE CROFT', 'BREARY LANE', 'Bramhope']",GB,LS16 9AE,RA999999,,GENERAL,GB,ACTIVE,2023-12-19T00:00:00Z
213800FP2EHLSQTMUV08,MRS A G ROLLO LEGACY TRUST,N/A,N/A,"['HARRISON CLARK RICKERSBY', 'ELLENBOROUGH HOUSE', 'WELLINGTON STREET']",GB,GL50 1YD,"['HARRISON CLARK RICKERSBY', 'ELLENBOROUGH HOUSE', 'WELLINGTON STREET']",GB,GL50 1YD,RA999999,,GENERAL,GB,ACTIVE,2018-01-11T00:00:00Z
213800FP2IRHV5TNQT43,THE PERPETUAL UCITS PORTFOLIO FUND,N/A,N/A,"['SUITE W305, THE HUB WORKSPACE', ""TRIQ SANT' ANDRIJA""]",MT,SGN 1612,"['C/O ABSOLUTE RETURN INVESTMENT ADVISERS (ARIA) LIMITED', 'BUILDING 2 GROUND FLOOR, GUILDFORD BUSINESS PARK']",GB,GU2 8XG,RA000945,ARIA-SF1832,FUND,MT,ACTIVE,2017-11-29T00:00:00Z
213800FP321FWUOR8124,FISHER FAMILY TRUST NOVEMBER 2006 - XA587,N/A,N/A,"['C/O RATHBONE INVESTMENT MANAGEMENT LIMITED', 'PORT OF LIVERPOOL BUILDING, PIER HEAD']",GB,L3 1NW,"['C/O RATHBONE INVESTMENT MANAGEMENT LIMITED', 'PORT OF LIVERPOOL BUILDING, PIER HEAD']",GB,L3 1NW,RA999999,,GENERAL,GB,ACTIVE,2017-10-10T00:00:00Z
213800FP4G3NMQT9HX87,IRAY CAPITAL PTE. LTD.,N/A,N/A,"['250 NORTH BRIDGE ROAD', '#14-01, RAFFLES CITY TOWER']",SG,179101,"['250 NORTH BRIDGE ROAD', '#14-01, RAFFLES CITY TOWER']",SG,179101,RA000523,201826859E,GENERAL,SG,ACTIVE,2020-01-21T00:00:00Z
213800FP5TPMAUZ2RB93,HAWKSWAY LIMITED,N/A,N/A,"['2ND FLOOR', 'ABBOTT BUILDING', 'WATERFRONT DRIVE', '87 MAIN STREET']",VG,VG1110,"['C/O ALEX PICOT TRUST', '6 ESPLANADE']",JE,JE1 1BX,RA000063,648198,GENERAL,VG,ACTIVE,2014-04-29T00:00:00Z
