LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
21380044OSOULAZDN176,JAMES ALASTRIR FOX,N/A,N/A,"['C/O BARLOW ROBBINS LLP', 'THE ORIEL, SYDENHAM ROAD']",GB,GU1 3SR,"['C/O BARLOW ROBBINS LLP', 'THE ORIEL, SYDENHAM ROAD']",GB,GU1 3SR,RA999999,,GENERAL,GB,ACTIVE,2017-12-08T00:00:00Z
21380044NVH574SCZX02,OROSDI,N/A,N/A,['112 AVENUE KLÉBER'],FR,75116,['112 AVENUE KLÉBER'],FR,75116,RA000192,552 022 832,GENERAL,FR,INACTIVE,2014-02-14T00:00:00Z
21380044PBTLI3JWE884,HOLOVIS INTERNATIONAL LTD,N/A,N/A,"['THE BRICK BARN BITTESBY CAMPUS', 'MERE LANE']",GB,LE17 4JH,"['THE BRICK BARN BITTESBY CAMPUS', 'MERE LANE']",GB,LE17 4JH,RA000585,05275613,GENERAL,GB,ACTIVE,2015-03-20T00:00:00Z
21380044PQMKFKA3O451,GAE INVESTMENTS LTD,N/A,N/A,"['31 LODGE AVENUE', 'ELSTREE']",GB,WD6 3NA,"['31 LODGE AVENUE', 'ELSTREE']",GB,WD6 3NA,RA000585,09580369,GENERAL,GB,ACTIVE,2018-03-27T00:00:00Z
21380044P7J7F1JWEG40,FARKAS TRADING S.A.,N/A,N/A,"['MMG TOWER PISO 23', 'AVENIDA DEL PACIFICO Y AVENIDA PASEO DEL MAR, COSTA DEL ESTE']",PA,0801,"['MMG TOWER PISO 23', 'AVENIDA DEL PACIFICO Y AVENIDA PASEO DEL MAR, COSTA DEL ESTE']",PA,0801,RA000478,175403,GENERAL,PA,ACTIVE,2023-12-29T00:00:00Z
21380044PRCCJNXL8H89,E.V. ENERGY TWO ΕΤΕΡΟΡΡΥΘΜΗ ΕΤΑΙΡΕΙΑ,N/A,N/A,['MINA GEORGIADI 39'],GR,71306,['MINA GEORGIADI 39'],GR,71306,RA000685,077745427000,GENERAL,GR,ACTIVE,2023-03-08T00:00:00Z
21380044OW7ZIGN96J51,CLEARSTREAM SSAS,N/A,N/A,"['C/O EMPOWERED PENSIONS LTD', 'CARTS & WAGONS FELCOURT FARM, FELCOURT ROAD']",GB,RH19 2LQ,"['C/O EMPOWERED PENSIONS LTD', 'CARTS & WAGONS FELCOURT FARM, FELCOURT ROAD']",GB,RH19 2LQ,RA000591,12017094,GENERAL,GB,ACTIVE,2021-03-29T00:00:00Z
21380044NIJ6O8MXLW11,TRS EXECUTIVE PENSION FUND NO 3,N/A,N/A,"['1 AUDLEY ROAD, EALING']",GB,W5 3ES,"['1 AUDLEY ROAD, EALING']",GB,W5 3ES,RA999999,,GENERAL,GB,ACTIVE,2017-11-08T00:00:00Z
21380044POAACHG99X96,CHELTONDALE CAPITAL,N/A,N/A,"['OLD POLICE STATION', 'WHITBURN STREET']",GB,WV16 4QP,"['OLD POLICE STATION', 'WHITBURN STREET']",GB,WV16 4QP,RA000585,12724933,GENERAL,GB,ACTIVE,2020-08-11T00:00:00Z
21380044PAF3TDK54841,TMA BULK TRADING INC.,N/A,N/A,"['C/O THE TRUST COMPANY OF THE MARSHALL ISLANDS, INC.', 'TRUST COMPANY COMPLEX, AJELTAKE ROAD', 'AJELTAKE ISLAND']",MH,96960,"['C/O THE TRUST COMPANY OF THE MARSHALL ISLANDS, INC.', 'TRUST COMPANY COMPLEX, AJELTAKE ROAD', 'AJELTAKE ISLAND']",MH,96960,RA000444,105328,GENERAL,MH,ACTIVE,2020-08-04T00:00:00Z
21380044PW6C443Q1502,THE KARLETT ANGELA JOHNSON DISCRETIONARY,N/A,N/A,"['TRINITY QUAY 2', 'AVON STREET']",GB,BS2 0PT,"['TRINITY QUAY 2', 'AVON STREET']",GB,BS2 0PT,RA999999,,GENERAL,GB,ACTIVE,2017-11-09T00:00:00Z
21380044QBSF6PI66Q73,NESSO FUND PCC LIMITED - (CELL B) - COMBO,N/A,N/A,"['46 THE SAILS TOWER, QUEENSWAY QUAY', 'PO BOX 1403']",GI,GX11 1AA,"['C/O VISTA FUND SERVICES LIMITED', '46 THE SAILS TOWER, QUEENSWAY QUAY, PO BOX 1403']",GI,GX11 1AA,RA999999,,FUND,GI,ACTIVE,2014-04-04T00:00:00Z
21380044PYF7JQGCKC59,JOAN ROSS MACEWAN OR MACRAE SETTLEMENT,N/A,N/A,"['18, BON ACCORD CRESCENT']",GB,AB11 6XY,"['18, BON ACCORD CRESCENT']",GB,AB11 6XY,RA999999,,GENERAL,GB,ACTIVE,2018-10-08T00:00:00Z
21380044QC11L4819J66,HELP FOR HEROES,N/A,N/A,"['Unit 14', 'Parkers Close', 'Downton Business Centre']",GB,SP5 3RB,"['Unit 14', 'Parkers Close', 'Downton Business Centre']",GB,SP5 3RB,RA000589,1120920,GENERAL,GB,ACTIVE,2014-02-04T00:00:00Z
21380044PUWHB9MVNA76,AHOLD DELHAIZE FINANCE COMPANY N.V.,213800GJMUOVBHMDVO66,AHOLD DELHAIZE INTERNATIONAL SÀRL,['JOHAN VAN WALBEECKPLEIN 11'],CW,,['RUE JEAN-FRANÇOIS-BARTHOLONI 4-6'],CH,1204,RA000160,86100,GENERAL,CW,ACTIVE,2014-01-13T00:00:00Z
21380044R6T8RIDAA993,THE CROSSING CHILDREN'S TRUST,N/A,N/A,"['THE STEP HOUSE', 'CRANLEIGH ROAD', 'Wonersh']",GB,GU5 0QT,"['THE STEP HOUSE', 'CRANLEIGH ROAD', 'Wonersh']",GB,GU5 0QT,RA999999,,GENERAL,GB,ACTIVE,2021-03-30T00:00:00Z
