LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
2138004CHENEUBIXIJ54,BROOKE UK LLC,N/A,N/A,"['WILMINGTON TRUST SP SERVICES, INC.', '1105 N. MARKET STREET SUITE 1300']",US,19801,"['WILMINGTON TRUST SP SERVICES, INC.', '1105 N. MARKET STREET SUITE 1300']",US,19801,RA000602,4098636,GENERAL,US-DE,ACTIVE,2015-12-16T00:00:00Z
2138004CHT24JM25RT26,THE ROWAN TRUST,N/A,N/A,"['C/O ATHOL TRUSTEES LIMITED', '6TH FLOOR VICTORY HOUSE,PROSPECT HIL']",IM,IM1 1AG,"['C/O ATHOL TRUSTEES LIMITED', '6TH FLOOR VICTORY HOUSE,PROSPECT HIL']",IM,IM1 1AG,RA999999,,GENERAL,IM,ACTIVE,2017-11-17T00:00:00Z
2138004CHRDK1HNCTY04,BREAKSPEAR GROUP EXECUTIVE PENSION,N/A,N/A,"['TRUST', 'BUDDS OAK, LANGWORTHY LANE, HOLYPORT']",GB,SL6 2HN,"['TRUST', 'BUDDS OAK, LANGWORTHY LANE, HOLYPORT']",GB,SL6 2HN,RA999999,,GENERAL,GB,ACTIVE,2017-10-10T00:00:00Z
2138004CIBXXT7FJEZ98,E.J. CHAPLIN SETTLEMENT 2002,N/A,N/A,['39 PORT HILL'],GB,SG14 3BH,['39 PORT HILL'],GB,SG14 3BH,RA999999,,GENERAL,GB,ACTIVE,2017-09-21T00:00:00Z
2138004CHM782R41ZF57,BALMORAL ASSET MANAGEMENT LIMITED,N/A,N/A,['18 RUTLAND SQUARE'],GB,EH1 2BB,['18 RUTLAND SQUARE'],GB,EH1 2BB,RA000587,SC182721,GENERAL,GB,ACTIVE,2017-09-22T00:00:00Z
2138004CHZYEJXT2BU69,MRS MARGARET CAMPBELL'S DISCRETIONARY TRUST,N/A,N/A,['2 C WARDIE ROAD'],GB,EH5 3QD,['2 C WARDIE ROAD'],GB,EH5 3QD,RA999999,,GENERAL,GB,ACTIVE,2017-07-14T00:00:00Z
2138004CI1I9OA4BKI23,UNIVERSAL HOLDINGS INVESTORS LTD.,N/A,N/A,"['3076 SIR FRANCIS DRAKES HIGHWAY', 'P.O. BOX 3463']",VG,VG1110,"['C/O NORTH ATLANTIC TRUST COMPANY LIMITED', '3RD FLOOR, 62/64 IRISH TOWN, P.O. BOX 894']",GI,GX11 1AA,RA000063,1053493,GENERAL,VG,ACTIVE,2017-09-27T00:00:00Z
2138004CHE7OUVSBX461,UWC HOLDINGS LTD,N/A,N/A,"['COMMUNICATIONS EXPERIENCE CENTRE CHALLENGE WAY', 'GREENBANK TECHNOLOGY PARK']",GB,BB1 5QB,"['COMMUNICATIONS EXPERIENCE CENTRE CHALLENGE WAY', 'GREENBANK TECHNOLOGY PARK']",GB,BB1 5QB,RA000585,12363487,GENERAL,GB,ACTIVE,2020-12-08T00:00:00Z
2138004CHX1DETR3SO62,PROUD BEAUTY LIMITED,N/A,N/A,['2 LEMAN STREET'],GB,E1W 9US,['27 HEBER ROAD'],GB,NW2 6AB,RA000585,11407524,GENERAL,GB,ACTIVE,2018-06-19T00:00:00Z
2138004CIDYIUYHPB672,EUREKA SHIPPING CANADA INC.,N/A,N/A,"['100 QUEEN STREET', '1300, OTTAWA']",CA,K1P 1J9,"['100 QUEEN STREET', '1300, OTTAWA']",CA,K1P 1J9,RA000079,1000491283,GENERAL,CA-ON,ACTIVE,2023-05-12T00:00:00Z
