LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
2138003DDT6IUGEILU71,KASO LEGG COMMUNICATIONS LTD,N/A,N/A,['40 QUEEN STREET'],GB,EC4R 1DD,['40 QUEEN STREET'],GB,EC4R 1DD,RA000585,08311315,GENERAL,GB,ACTIVE,2024-06-06T00:00:00Z
2138003DENZZUKT6CI42,MOJNA ALPHA MASTER FUND LIMITED,N/A,N/A,"['C/O MAPLES CORPORATE SERVICES LIMITED', 'PO BOX 309, UGLAND HOUSE']",KY,KY1-1104,"['C/O MAPLES CORPORATE SERVICES LIMITED', 'PO BOX 309, UGLAND HOUSE']",KY,KY1-1104,RA000086,MC-278775,GENERAL,KY,ACTIVE,2014-07-09T00:00:00Z
2138003DEHW4TLG6AS83,TIMOTHY LODER'S SETTLEMENT,N/A,N/A,"['C/O RATHBONE INVESTMENT MANAGEMENT LIMITED', 'PORT OF LIVERPOOL BUILDING, PIER HEAD']",GB,L3 1NW,"['C/O RATHBONE INVESTMENT MANAGEMENT LIMITED', 'PORT OF LIVERPOOL BUILDING, PIER HEAD']",GB,L3 1NW,RA999999,,GENERAL,GB,ACTIVE,2017-12-05T00:00:00Z
2138003DDKFAID6OQN24,J R COWDY DISCRETIONARY TRUST,N/A,N/A,"['POTTERS WHEEL', 'RUXLEY CRESCENT', 'CLAYGATE']",GB,KT10 0TX,"['POTTERS WHEEL', 'RUXLEY CRESCENT', 'CLAYGATE']",GB,KT10 0TX,RA888888,1755473297,GENERAL,GB,INACTIVE,2017-09-27T00:00:00Z
2138003DEN6WIC76XH27,W.G. WIGGINTON GROUP LIMITED,N/A,N/A,"['WIGGINTON HOUSE', '1-4 ROCKWARE AVENUE']",GB,UB6 0AA,"['WIGGINTON HOUSE', '1-4 ROCKWARE AVENUE']",GB,UB6 0AA,RA000585,04199736,GENERAL,GB,ACTIVE,2020-04-09T00:00:00Z
2138003DEROINI7T1D48,HENRY FELCE 1978 SETTLEMENT,N/A,N/A,"['THE LONG HOUSE, LANGTON LANE']",GB,BN6 9EZ,"['THE LONG HOUSE, LANGTON LANE']",GB,BN6 9EZ,RA999999,,GENERAL,GB,ACTIVE,2017-11-01T00:00:00Z
2138003DERCIP6BW1597,TROGON INTERNATIONAL LIMITED,N/A,N/A,"['PALM GROVE HOUSE, P.O. BOX 438']",VG,VG1110,"['PALM GROVE HOUSE, P.O. BOX 438']",VG,VG1110,RA000063,1774053,GENERAL,VG,ACTIVE,2017-12-08T00:00:00Z
2138003DDY7WJD5GUE28,R S SALVESEN IN TRUST FOR ROBIN I M SALVESEN,N/A,N/A,['RATHBONE INVESTMENT MANAGEMENT PORT OF LIVERPOOL BUILDING'],GB,L3 1NW,['RATHBONE INVESTMENT MANAGEMENT PORT OF LIVERPOOL BUILDING'],GB,L3 1NW,RA999999,,GENERAL,GB,ACTIVE,2022-01-05T00:00:00Z
2138003DDU8KCVJXH812,GREGALE LIMITED,N/A,N/A,"['38 KARAISKAKI', 'KANIKA ALEXANDER CENTER, BLOCK 1, 1ST FLOOR, OFFICE 113B']",CY,3022,"['38 KARAISKAKI', 'KANIKA ALEXANDER CENTER, BLOCK 1, 1ST FLOOR, OFFICE 113B']",CY,3022,RA000161,ΗΕ 428529,GENERAL,CY,ACTIVE,2022-01-19T00:00:00Z
2138003DDWWHMZSPRE36,ELMO BIDCO LIMITED,N/A,N/A,"['UNITS 2 & 3, THREE RIVERS BUSINESS CTR', 'FELIXSTOWE ROAD, FOXHALL']",GB,IP10 0BF,"['UNITS 2 & 3, THREE RIVERS BUSINESS CTR', 'FELIXSTOWE ROAD, FOXHALL']",GB,IP10 0BF,RA000585,14889189,GENERAL,GB,ACTIVE,2023-08-11T00:00:00Z
2138003DFRSIIFZCGO11,BANCASTATO UMBRELLA FUND,N/A,N/A,"['C/O CACEIS (SWITZERLAND) SA', 'ROUTE DE SIGNY 35']",CH,1260,"['C/O CACEIS (SWITZERLAND) SA', 'ROUTE DE SIGNY 35']",CH,1260,RA000550,,FUND,CH,ACTIVE,2023-12-05T00:00:00Z
2138003DF9Y1XF6EJ991,HALLMARK HOTELS HOLDINGS LIMITED,N/A,N/A,"['FOUNTAIN COURT', '12 BRUNTCLIFFE WAY, MORLEY']",GB,LS27 0JG,"['FOUNTAIN COURT', '12 BRUNTCLIFFE WAY, MORLEY']",GB,LS27 0JG,RA000585,06247707,GENERAL,GB,ACTIVE,2014-05-19T00:00:00Z
2138003DGB9WF9YM4749,DEER FUNDING UK PLC,N/A,N/A,"[""36 GREAT ST. HELEN'S""]",GB,EC3A 6AP,"[""36 GREAT ST. HELEN'S""]",GB,EC3A 6AP,RA000585,10519539,GENERAL,GB,INACTIVE,2016-12-19T00:00:00Z
2138003DFDW989Z2F644,YEW TREE OVERSEAS LIMITED,N/A,N/A,"['C/O RAWLINSON & HUNTER LIMITED', 'WOODBOURNE HALL, P.O. BOX 3162']",VG,VG1110,"['C/O RAWLINSON & HUNTER LIMITED', 'WOODBOURNE HALL, P.O. BOX 3162']",VG,VG1110,RA000063,1940904,GENERAL,VG,ACTIVE,2020-03-06T00:00:00Z
2138003DF3F85BIFAO80,G PINCUS DISCRETIONARY TRUST,N/A,N/A,"['TRINITY QUAY 2', 'AVON STREET']",GB,BS2 0PT,"['TRINITY QUAY 2', 'AVON STREET']",GB,BS2 0PT,RA999999,,GENERAL,GB,ACTIVE,2017-11-14T00:00:00Z
2138003DHP2AYDDG3P08,DEBORAH GILLIAN KEILY UBS BENEFITS TRUST,N/A,N/A,['80 NORTH HILL'],GB,N6 4RL,['80 NORTH HILL'],GB,N6 4RL,RA999999,,GENERAL,GB,ACTIVE,2017-11-17T00:00:00Z
