LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
213800U5N2CUPFGAOH08,AXA IM ARIZONA SRT FUND L.P. - POOL 1,N/A,N/A,"['C/O CADWALADER, WICKERSHAM & TAFT LLP', '100 BISHOPSGATE']",GB,EC2N 4AG,"['C/O AXA INVESTMENT MANAGERS US INC.', '838 WALKER ROAD SUITE 21-2']",US,19904,RA999999,,FUND,KY,ACTIVE,2024-04-05T00:00:00Z
213800U5NHVTZ84RQ204,BLUE OCEAN INTERNATIONAL LIMITED,N/A,N/A,"['YORK HOUSE', 'SEYMOUR STREET']",GB,W1H 7JT,"['YORK HOUSE', '45 SEYMOUR STREET']",GB,W1H 7JT,RA000585,03912247,GENERAL,GB,ACTIVE,2014-05-28T00:00:00Z
213800U5MBNBY3JNIX59,J.R.B. INVESTMENTS LIMITED,N/A,N/A,"['62 WILSON STREET', 'FINSBURY SQUARE']",GB,EC2A 2BU,"['3 GREAT ELLSHAMS', 'HOLLY LANE']",GB,SM7 2BA,RA000585,02609074,GENERAL,GB,ACTIVE,2017-10-11T00:00:00Z
213800U5NQJA2TY7YU34,HENRY ABRAM PROJECTS LTD,N/A,N/A,"['SOUTH ROTUNDA', '100 GOVAN ROAD']",GB,G51 1AY,"['SOUTH ROTUNDA', '100 GOVAN ROAD']",GB,G51 1AY,RA000585,SC417645,GENERAL,GB,ACTIVE,2019-11-25T00:00:00Z
213800U5NLIGBL4DVR67,FRANK GEORGE BURDITT WILL TRUST,N/A,N/A,"['C/O RATHBONE INVESTMENT MANAGEMENT LIMITED', 'PORT OF LIVERPOOL BUILDING, PIER HEAD']",GB,L3 1NW,"['C/O RATHBONE INVESTMENT MANAGEMENT LIMITED', 'PORT OF LIVERPOOL BUILDING, PIER HEAD']",GB,L3 1NW,RA999999,,GENERAL,GB,ACTIVE,2017-10-18T00:00:00Z
213800U5M5FRG7EW8C22,OUR SHOAL RETIREMENT & DEATH BENEFIT SCHEME,N/A,N/A,"['C/O INVESTACC PENSION ADMINISTRATION LIMITED', 'MINERVA HOUSE']",GB,CA2 7AF,"['C/O INVESTACC PENSION ADMINISTRATION LIMITED', 'MINERVA HOUSE']",GB,CA2 7AF,RA888888,00831460RB,GENERAL,GB,ACTIVE,2019-07-08T00:00:00Z
213800U5MHTNHT6ZPT81,AGFE AR LIMITED,2138006VP4LKOZT32A48,AGFE GROUP LIMITED,['55 BAKER STREET'],GB,W1U 8EW,['55 BAKER STREET'],GB,W1U 8EW,RA000585,05941566,GENERAL,GB,INACTIVE,2014-11-25T00:00:00Z
213800U5NR712SV25G15,GTS EUROPEAN EQUITY FUND,213800Z9OBMEBGT5HR38,METHOD INVESTMENTS SCA SICAV-RAIF,"['30, BOULEVARD ROYAL']",LU,L-2449,"['C/O METHOD INVESTMENTS & ADVISORY LTD', 'THIRD FLOOR, 40 NEW BOND STREET']",GB,W1S 2RX,RA999999,,FUND,LU,INACTIVE,2022-11-30T00:00:00Z
213800U5NSU37437WN64,T.S.C.I. CO. LIMITED,N/A,N/A,"['5 MATTHEOU MATTHEOU', 'AGIOS ATHANASIOS']",CY,4101,"['5 MATTHEOU MATTHEOU', 'AGIOS ATHANASIOS']",CY,4101,RA000161,ΗΕ 225700,GENERAL,CY,ACTIVE,2018-01-16T00:00:00Z
213800U5O3EWJNZ4L218,THE CHAPTER OF WELLS,N/A,N/A,"['CHAIN GATE', 'CATHEDRAL GREEN']",GB,BA5 2UE,"['CHAIN GATE', 'CATHEDRAL GREEN']",GB,BA5 2UE,RA999999,,GENERAL,GB,ACTIVE,2017-07-31T00:00:00Z
