LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
335800AK2KUSE1YPLZ16,HONEYCOMB SOFTWARES PRIVATE LIMITED,N/A,N/A,"['A-404, THE LANDMARK', 'OPP. KANSAR RESTAURANT', 'KUDASAN']",IN,382421,"['A-404, THE LANDMARK', 'OPP. KANSAR RESTAURANT', 'KUDASAN']",IN,382421,RA000394,U72900GJ2012PTC071957,GENERAL,IN,ACTIVE,2018-09-18T11:41:00Z
335800AK1KB8CZM8DU87,TRUE WALL SPECIALITIES PRIVATE LIMITED,N/A,N/A,"['182/1, RETIWALA COMPOUND, CADELL ROAD, MAHIM (WEST)']",IN,400016,"['182/1, RETIWALA COMPOUND, CADELL ROAD, MAHIM (WEST)']",IN,400016,RA000394,U36990MH2007PTC170792,GENERAL,IN,ACTIVE,2023-06-20T11:13:29Z
335800AJZZ5WCY1EUD73,ADANI FINSERVE PRIVATE LIMITED,N/A,N/A,"['ADANI HOUSE, NEAR MITHAKHALI SIX ROADS', 'NAVRANGPURA AHMEDABAD']",IN,380009,"['ADANI HOUSE, NEAR MITHAKHALI SIX ROADS', 'NAVRANGPURA AHMEDABAD']",IN,380009,RA000394,U65993GJ2016PTC086524,GENERAL,IN,ACTIVE,2022-11-17T10:53:48Z
335800AK1DBBMJP8TK21,TEXKNIT PROCESSORS PRIVATE LIMITED,N/A,N/A,['HB-23 PHASE VI FOCAL POINT'],IN,141010,['HB-23 PHASE VI FOCAL POINT'],IN,141010,RA000394,U17299PB2021PTC052740,GENERAL,IN,ACTIVE,2023-05-11T10:34:20Z
335800AK323UC9WWMP63,SHREE BALAJI GROUP,N/A,N/A,"['4TH FLOOR, SHOP NO. 404', 'TIRUPATI SQUARE', 'NEAR PTM MARKET', 'SAHARA DARWAJA']",IN,395002,"['4TH FLOOR, SHOP NO. 404', 'TIRUPATI SQUARE', 'NEAR PTM MARKET', 'SAHARA DARWAJA']",IN,395002,RA000754,24AEPFS6108G1ZW,GENERAL,IN,ACTIVE,2024-08-31T11:15:24Z
335800AK293YCGHZ7L23,BEHARI LAL BUDH RAM,N/A,N/A,"['B-6, MANDI YARD', 'NEWAI']",IN,304021,"['B-6, MANDI YARD', 'NEWAI']",IN,304021,RA000754,08AACFB5784A1ZO,GENERAL,IN,ACTIVE,2024-08-31T10:00:26Z
335800AK15EAC5OXXU05,VELMURUGAN POULTRY FARM,N/A,N/A,"['99-A/4,POTHIYAN THOTTAM,PALAKARAI']",IN,638057,"['99-A/4,POTHIYAN THOTTAM,PALAKARAI']",IN,638057,RA000754,33ANDPD5347D2ZI,SOLE_PROPRIETOR,IN,ACTIVE,2024-01-05T12:05:43Z
335800AK2NCLCLDD9D55,LOKESH MACHINES LTD,N/A,N/A,"['B-29, EEIE, STAGE-2', 'BALANAGAR,']",IN,500037,"['B-29, EEIE, STAGE-2', 'BALANAGAR,']",IN,500037,RA000394,L29219TG1983PLC004319,GENERAL,IN,ACTIVE,2018-12-03T12:19:49Z
335800AJZ7NO4XG4AB67,ASHISH INTERBUILD PRIVATE LIMITED,N/A,N/A,"['204 A.R.K. INDUSTRIAL ESTATE,', 'ANDHERI EAST MUMBAI', 'MAKAWANA ROAD MAROL NAKA']",IN,400059,"['204 A.R.K. INDUSTRIAL ESTATE,', 'ANDHERI EAST MUMBAI', 'MAKAWANA ROAD MAROL NAKA']",IN,400059,RA000394,U45202MH2008PTC185637,GENERAL,IN,ACTIVE,2022-07-21T11:39:32Z
335800AK3HENKUIFWU03,SOLANKI BROS. MATIALA,N/A,N/A,"['96//10, MUBARIKPUR ROAD', 'FARRUKHNAGAR']",IN,122506,"['96//10, MUBARIKPUR ROAD', 'FARRUKHNAGAR']",IN,122506,RA000754,06BHJPS6306Q1ZN,SOLE_PROPRIETOR,IN,ACTIVE,2024-03-28T07:12:04Z
335800AK5F42TJCDGN80,DEEPLOK FINANCIAL SERVICES LTD,N/A,N/A,"['11/1, SARAT BOSE ROAD, SOUTH BLOCK, 2ND FLOOR,, KOLKATA, WEST BENGAL, INDIA,']",IN,700020,"['11/1, SARAT BOSE ROAD, SOUTH BLOCK, 2ND FLOOR,, KOLKATA, WEST BENGAL, INDIA,']",IN,700020,RA000394,L17115WB1981PLC033469,GENERAL,IN,ACTIVE,2021-08-31T09:10:00Z
335800AK44JFUAHQKT77,HCL CORPORATION PRIVATE LIMITED,N/A,N/A,"['806, SIDDHARTHA, 96, NEHRU PLACE', 'NEW DELHI']",IN,110019,"['806, SIDDHARTHA, 96, NEHRU PLACE', 'NEW DELHI']",IN,110019,RA000394,U74120DL2008PTC183849,GENERAL,IN,ACTIVE,2019-05-03T12:51:10Z
335800AK2TTDQTMSDZ69,KONICA MINOLTA HEALTHCARE INDIA PRIVATE LIMITED,549300SVK6KRUOL1A740,コニカミノルタ株式会社,"['OFFICE NO. 201, 2ND FLOOR,', 'ATRIUM CENTRE - 2,', 'ANDHERI-KURLA ROAD, CHAKALA,', 'ANDHERI (EAST)']",IN,400093,"['OFFICE NO. 201, 2ND FLOOR,', 'ATRIUM CENTRE - 2,', 'ANDHERI-KURLA ROAD, CHAKALA,', 'ANDHERI (EAST)']",IN,400093,RA000394,U33110MH2010PTC200438,GENERAL,IN,ACTIVE,2020-03-16T14:00:16Z
335800AK6IKF5FX2HO40,SATHYAM PLY AND BOARDS,N/A,N/A,"['KP-V/270-C, M/S. SATHYAM PLY AND BOARDS, PANIPRA.P.O,KOTHAMANGALAM']",IN,686692,"['KP-V/270-C, M/S. SATHYAM PLY AND BOARDS, PANIPRA.P.O,KOTHAMANGALAM']",IN,686692,RA000754,32ABJFS5362H1Z3,GENERAL,IN,ACTIVE,2023-12-28T12:00:43Z
335800AK5JAKC3211Z89,AARUNYA CONSTRUCTION & SUPPLY SERVICES PRIVATE LIMITED,N/A,N/A,"['ZILA PARISHAD MARKET', 'RAJGIR']",IN,803116,"['ZILA PARISHAD MARKET', 'RAJGIR']",IN,803116,RA000394,U45309BR2017PTC034606,GENERAL,IN,ACTIVE,2024-08-05T05:51:21Z
335800AK8GR47PKWA424,VL SAVLI DEVELOPERS LLP,N/A,N/A,"['SHOP NO. 2, C WING,', 'BUILDING NO.150 NR. SHIVSENA SHAKHA,', 'KANNAMWAR NAGAR, VIKHROLI (E)']",IN,400083,"['SHOP NO. 2, C WING,', 'BUILDING NO.150 NR. SHIVSENA SHAKHA,', 'KANNAMWAR NAGAR, VIKHROLI (E)']",IN,400083,RA000394,AAO-5210,GENERAL,IN,ACTIVE,2023-07-26T06:47:05Z
