LEI,Legal Name,Parent LEI,Parent Legal Name
21380019KOLA9CRZNI21,DR TOM GEORGE LONGSTAFF DECEASED,N/A,N/A
21380019LUNUOEZ7HB89,MILITO LIMITED,N/A,N/A
21380019KKD4XQVO2905,THE LONDON & WESTERN HOLDINGS PENSION SCHEME,N/A,N/A
21380019L1AIR1D36M24,JOHN D'OYLY HADLEY FUND FOR DAVID MICHAEL HADLEY,N/A,N/A
21380019M56Q1VGQZR87,BALICREST EXECUTIVE PENSION SCHEME,N/A,N/A
21380019M3DB4F2C2477,FONDO PENSIONE COMPLEMENTARE NAVIGANTI DEL TRASPORTO AEREO - PILOTI E ASSISTENTI DI VOLO,N/A,N/A
21380019LVE1QTKRC465,THE HON J J E DEWARS CHARITABLE TRUST,N/A,N/A
21380019LD1QA1IY1Y94,PT PRUDENTIAL LIFE ASSURANCE,549300KDOPLFHAW51H26,Prudential Corporation Holdings Limited
21380019MCMNK65ABV72,MICKLEHAM LIMITED,N/A,N/A
21380019MFW1J46LYN59,THE IAN LE PAGE RETIREMENT ANNUITY TRUST,N/A,N/A
21380019N51FCF5OND11,MRS VERA PEGGY COOPER WILL TRUST,N/A,N/A
21380019NOKQD8J6YE32,MRS A M CHAPLIN WILL TRUST,N/A,N/A
21380019MYWF47SCXN24,RAY MARY MORGAN DISCRETIONARY TRUST,N/A,N/A
21380019N2OME7VOTC30,ASP PC II UK FACILITATION LTD,N/A,N/A
21380019N5M8TEPV5J10,THE LARKSPUR TRUST,N/A,N/A
21380019N5N92Y8DQ676,THE M.R. TRUST,N/A,N/A
21380019NQQO98PRIB40,LUTSER OVERSEAS S.A.,N/A,N/A
21380019NFK5MBKRPN03,WEALTH BUILDERS TOGETHER LTD - SSAS,N/A,N/A
21380019MKIOFHSVBR12,ΣΟΥΡΙΑΔΑΚΙΣ ΤΣΙΜΠΡΗΣ ΕΤΑΙΡEΙΑ ΔΙΚΗΓΟΡΩΝ,N/A,N/A
21380019NK3D4YAAQU60,FOURTH LORD GERARD'S WILL TRUST,N/A,N/A
21380019OPRBSEX4VU72,AR JENNINGS WILL TRUST 7/,N/A,N/A
21380019O5FFZHFN2R47,MCTM LIMITED,N/A,N/A
21380019P6F1BIPJOU72,MRS GILLIAN MURISONS TRUST,N/A,N/A
21380019O8QOUU8OA140,ALDRIDGE BROTHERS SHEET METAL RETIREMENT BENEFITS SCHEME,N/A,N/A
21380019O47DBECCO555,ANALECT CAPITAL MANAGEMENT LTD,N/A,N/A
21380019RK735CDR7121,M7 EREIP III LUX GERMAN PROPCO 1 S.À R.L.,N/A,N/A
21380019RWM2E847DI90,VERSEAU TRUST,N/A,N/A
21380019QI3SCEU84K24,MAGELLAN PROPERTIES LIMITED,N/A,N/A
21380019QHR3ZMMUR848,D WILLIAMS FAMILY SETTLEMENT 2023,N/A,N/A
21380019RN1YZT65IG87,UBP GIBRALTAR DEFINED CONTRIBUTIONS SCHEME,N/A,N/A
21380019RJGCOGXIFI32,THE JED FAMILY INVESTMENT COMPANY LIMITED,N/A,N/A
21380019S37JG751VH70,EMERALD PUBLISHING LIMITED,N/A,N/A
21380019Q6SD5PV58T81,DELTA QUEENS HOTEL LIMITED,N/A,N/A
21380019QQ7C8CXQ1J81,FONDATION ELINA,N/A,N/A
21380019SPUC567H4409,JD SUBSEA LTD,N/A,N/A
21380019SJIMR9IJSG62,R A TYRRELL TRUST NO 1B,N/A,N/A
21380019S76CD52OV286,THE ABERDEEN ASSET MANAGEMENT (C.I.) PENSION SCHEME,N/A,N/A
21380019T6GQTJOI6515,GENERALE D'HAUTEVILLE LTD,N/A,N/A
21380019Q6928OTY7340,GETELEC GUADELOUPE,213800CIE2A3PL24C432,VINCI ENERGIES
21380019SIIR265AOO81,NFU MUTUAL SELECT INVESTMENTS LIMITED,2138007R6SO8SJRB9Z36,NATIONAL FARMERS UNION MUTUAL INSURANCE SOCIETY LIMITED(THE)
21380019TTXZJU7GZO14,AIRCRAFT MAINTENANCE SUPPORT SERVICES LIMITED,N/A,N/A
21380019UPXQJNTB9Q10,THE CONDER FAMILY TRUST,N/A,N/A
21380019TDZRD5K2I917,WESTERLEIGH GROUP HOLDINGS LIMITED,N/A,N/A
21380019UGBCL4A69Q18,LEAF TERRACE (PTC) LTD,N/A,N/A
21380019TBXZSNXZ3G36,IKANO BOSTAD GBG HOLDING 819 AB,N/A,N/A
21380019UFIJ15KL9F18,WS GRESHAM HOUSE UK MICRO CAP FUND,N/A,N/A
21380019T87PIXNOTQ40,TANKERTON LIMITED,N/A,N/A
21380019UJKACM12QL03,VIRTUS LONDON 7 LIMITED,N/A,N/A
21380019T6TX5X6GWE61,THE RORY CLARKE TRUST 2019,N/A,N/A
21380019V1SXPE6VGC97,CRS TRUST FUND,N/A,N/A
21380019V5EM6OWWX713,PETROLINA LIMITED,N/A,N/A
21380019UWBFA4CPHZ68,THE JACK PATSTON CHARITABLE TRUST,N/A,N/A
21380019V28IQTSMNC37,QUILTER EMPLOYEE BENEFIT TRUST,N/A,N/A
21380019TK4MA77L8S39,CABESTAN QUANT RESEARCH LIMITED,213800LOMAWXHMHRMH37,WALEWSKI LIMITED
