LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
213800TE5GC5AJO3PY05,HAUNSTRUP THOMSEN HOLDING ApS,N/A,N/A,"['Krajbjergvej 4', 'Vorre']",DK,8541,"['Krajbjergvej 4', 'Vorre']",DK,8541,RA000170,32770053,GENERAL,DK,ACTIVE,2017-09-01T02:00:00Z
213800TE6MVPHYJQZJ07,THE STROKESTOWN SETTLEMENT,N/A,N/A,"['C/O AMBER TRUST LTD', 'CAVES VILLAGE, BUILDING 2', 'West Bay Street', 'PO BOX CB - 10976']",BS,,"['C/O AMBER TRUST LTD', 'CAVES VILLAGE, BUILDING 2', 'West Bay Street', 'PO BOX CB - 10976']",BS,,RA999999,,GENERAL,BS,ACTIVE,2022-07-12T00:00:00Z
213800TE62CCKB9SE604,J M GREETHAM 1987 (NO.2) SETTLEMENT,N/A,N/A,"['MERLIN PLACE', 'MILTON ROAD']",GB,CB4 0DP,"['MERLIN PLACE', 'MILTON ROAD']",GB,CB4 0DP,RA999999,,GENERAL,GB,ACTIVE,2017-12-28T00:00:00Z
213800TE5QBT29QQR778,BERTHA LANGER TRUST,N/A,N/A,"['C/O DIBBENS SOLICITORS', '3 WEST BOROUGH']",GB,BH21 1LU,"['C/O DIBBENS SOLICITORS', '3 WEST BOROUGH']",GB,BH21 1LU,RA999999,,GENERAL,GB,ACTIVE,2017-11-17T00:00:00Z
213800TE6HYCMXGH8Y56,JOGRAM LIMITED,N/A,N/A,['39 NORRICE LEA'],GB,N2 0RD,['39 NORRICE LEA'],GB,N2 0RD,RA000585,12451152,GENERAL,GB,ACTIVE,2022-01-12T00:00:00Z
213800TE65IAYW4GZ777,JSP CONSULTANTS LIMITED,N/A,N/A,['8C HIGH STREET'],GB,SO14 2DH,['8C HIGH STREET'],GB,SO14 2DH,RA000585,07629744,GENERAL,GB,ACTIVE,2017-12-19T00:00:00Z
213800TE65EXSOTGXY74,MBIA UK (HOLDINGS) LIMITED,N/A,N/A,"['6TH FLOOR (NORTH)', '99 BISHOPSGATE']",GB,EC2M 3XD,"['6TH FLOOR (NORTH)', '99 BISHOPSGATE']",GB,EC2M 3XD,RA000585,04808006,GENERAL,GB,INACTIVE,2015-06-16T00:00:00Z
213800TE5BSCUTV93X61,KATHERINE MARY LADY DAY WILL TRUST,N/A,N/A,"['C/O PAYNE HICKS BEACH LLP', '10 NEW SQUARE, LINCOLNS INN']",GB,WC2A 3QG,"['C/O PAYNE HICKS BEACH LLP', '10 NEW SQUARE, LINCOLNS INN']",GB,WC2A 3QG,RA999999,,GENERAL,GB,ACTIVE,2023-11-24T00:00:00Z
213800TE6MK9QNIU5221,CAPTAIN JOHN MACDONALD-BUCHANAN 1997 SETTLEMENT,N/A,N/A,"['C/O RATHBONE INVESTMENT MANAGEMENT LIMITED', 'PORT OF LIVERPOOL BUILDING, PIER HEAD']",GB,L3 1NW,"['C/O RATHBONE INVESTMENT MANAGEMENT LIMITED', 'PORT OF LIVERPOOL BUILDING, PIER HEAD']",GB,L3 1NW,RA999999,,GENERAL,GB,ACTIVE,2017-10-04T00:00:00Z
213800TE6J3AQM9UDA35,ARTHUR RAYNER DISCRETIONARY SETTLEMENT,N/A,N/A,"['C/O HSBC TRUST COMPANY (UK) LIMITED', 'FORUM 1, PARKWAY WHITELEY']",GB,PO15 7PA,"['C/O HSBC TRUST COMPANY (UK) LIMITED', '8 CANADA SQUARE, CANARY WHARF']",GB,E14 5HQ,RA888888,8177357708,GENERAL,GB,ACTIVE,2017-11-27T00:00:00Z
213800TE7HG22M2C3793,PHANTASSIE TRUST,N/A,N/A,"['C/O RATHBONE INVESTMENT MANAGEMENT LIMITED', 'PORT OF LIVERPOOL BUILDING, PIER HEAD']",GB,L3 1NW,"['C/O RATHBONE INVESTMENT MANAGEMENT LIMITED', 'PORT OF LIVERPOOL BUILDING, PIER HEAD']",GB,L3 1NW,RA999999,,GENERAL,GB,ACTIVE,2017-11-27T00:00:00Z
213800TE7BZZ56I6SJ58,"TCS & STARQUEST MERGER, INC.",N/A,N/A,"['C/O THE CORPORATION TRUST COMPANY', 'CORPORATION TRUST CENTER 1209 ORANGE ST']",US,19801,"['C/O THE CORPORATION TRUST COMPANY', 'CORPORATION TRUST CENTER 1209 ORANGE ST']",US,19801,RA000602,4816704,GENERAL,US-DE,ACTIVE,2015-06-02T00:00:00Z
213800TE6MVPNSJHJ802,R H RELPH MARRIAGE SETTT,N/A,N/A,"['TG BAYNES', 'BROADWAY HOUSE, TRINITY PLACE']",GB,DA6 7BG,"['TG BAYNES, BROADWAY HOUSE', '208 BROADWAY']",GB,DA6 7BG,RA999999,,GENERAL,GB,ACTIVE,2017-12-29T00:00:00Z
213800TE76K5G7I69T55,CAPITAL FOR ENTERPRISE FUND MANAGERS LIMITED,N/A,N/A,"['FOUNDRY HOUSE', '3 MILLSANDS']",GB,S3 8NH,"['FOUNDRY HOUSE', '3 MILLSANDS']",GB,S3 8NH,RA000585,06826072,GENERAL,GB,INACTIVE,2016-01-06T00:00:00Z
213800TE6OWRVH9P1Q13,AXA IM MPF GROWTH FUND,N/A,N/A,"['C/O AXA INVESTMENT MANAGERS ASIA LIMITED', '57/F, ONE ISLAND EAST, 18 WESTLANDS ROAD, QUARRY BAY']",HK,,"['C/O AXA INVESTMENT MANAGERS ASIA LIMITED', '57/F, ONE ISLAND EAST, 18 WESTLANDS ROAD, QUARRY BAY']",HK,,RA999999,,FUND,HK,ACTIVE,2014-01-27T00:00:00Z
213800TE8CM5RWOD7D05,MARK GOLDBERG CHARITABLE TRUST,N/A,N/A,['89 SEAWARD STREET'],GB,G41 1HJ,['89 SEAWARD STREET'],GB,G41 1HJ,RA000590,SC009398,GENERAL,GB,ACTIVE,2017-10-30T00:00:00Z
213800TE7OJU8V5YWC50,ROYAL LIVERPOOL SEAMENS ORPHAN INSTITUTION,N/A,N/A,"['ROYAL LIVERPOOL SEAMENS ORPHAN INSTITUTION', 'SUITE 315 COTTON EXCHANGE , OLD HALL STREET']",GB,L3 9JR,"['ROYAL LIVERPOOL SEAMENS ORPHAN INSTITUTION', 'SUITE 315 COTTON EXCHANGE , OLD HALL STREET']",GB,L3 9JR,RA000589,526379,GENERAL,GB,ACTIVE,2017-10-30T00:00:00Z
213800TE7YSHBJPW3474,JOHN WILLIAM HUCKER DECEASED,N/A,N/A,"['C/O HSBC TRUST COMPANY (UK) LIMITED', 'FORUM 1, PARKWAY, WHITELEY']",GB,PO15 7PA,"['C/O HSBC TRUST COMPANY (UK) LIMITED', '8 CANADA SQUARE']",GB,E14 5HQ,RA999999,,GENERAL,GB,ACTIVE,2017-11-24T00:00:00Z
213800TE8WJOQSFIKD14,WILLIAM HILL CONSULTING LTD,N/A,N/A,"['CENTENARY HOUSE PENINSULA PARK', 'RYDON LANE']",GB,EX2 7XE,"['CENTENARY HOUSE PENINSULA PARK', 'RYDON LANE']",GB,EX2 7XE,RA000585,08900428,GENERAL,GB,ACTIVE,2019-06-28T00:00:00Z
213800TE7YT2MJRQRY34,RICHFIELD CAPITAL LIMITED,N/A,N/A,"['PO BOX 1708', '5 CORK STREET']",BZ,,"['OFFICE 303, HUSTON AND EYRE STREET CORNER', 'BLAKE BUILDING']",BZ,,RA000026,"156,881",GENERAL,BZ,ACTIVE,2016-05-05T00:00:00Z
213800TE7YILYPJ5MI18,TRUSTEES OF AILEEN MACKINNON A&M TRUST,N/A,N/A,"['C/O RATHBONE INVESTMENT MANAGEMENT LIMITED', 'PORT OF LIVERPOOL BUILDING, PIER HEAD']",GB,L3 1NW,"['C/O RATHBONE INVESTMENT MANAGEMENT LIMITED', 'PORT OF LIVERPOOL BUILDING, PIER HEAD']",GB,L3 1NW,RA999999,,GENERAL,GB,ACTIVE,2017-11-27T00:00:00Z
213800TE8V13I5LREA59,THE ARLBERG TRUST,N/A,N/A,['14 HOLMEWOOD RIDGE'],GB,TN3 0ED,['14 HOLMEWOOD RIDGE'],GB,TN3 0ED,RA888888,2933986544,GENERAL,GB,ACTIVE,2018-01-23T00:00:00Z
