LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
213800SMKP2F7AWZU539,SIR HOSPITAL HOLDINGS LIMITED,N/A,N/A,"['125 LONDON WALL', '6TH FLOOR']",GB,EC1R 0AN,"['125 LONDON WALL', '6TH FLOOR']",GB,EC1R 0AN,RA000585,05863307,GENERAL,GB,ACTIVE,2014-02-11T00:00:00Z
213800SMLJLPEW3L8U86,STUART SHARP'S 2020 DISCRETIONARY TRUST,N/A,N/A,"['C/O RATHBONES INVESTMENT MANAGEMENT', 'PORT OF LIVERPOOL BUILDING']",GB,L3 1NW,"['C/O RATHBONES INVESTMENT MANAGEMENT', 'PORT OF LIVERPOOL BUILDING']",GB,L3 1NW,RA999999,,GENERAL,GB,ACTIVE,2024-01-12T00:00:00Z
213800SML6P83LZGSL45,W H HEYWOOD SETTLEMENT (TRIMNELL TRUST),N/A,N/A,['14 HIGH STREET'],GB,HD1 2HA,['14 HIGH STREET'],GB,HD1 2HA,RA999999,,GENERAL,GB,ACTIVE,2019-02-18T00:00:00Z
213800SMKMISY24FB504,REALI ΑΝΩΝΥΜΗ ΚΤΗΜΑΤΙΚΗ ΕΤΑΙΡΕΙΑ ΚΑΙ ΕΤΑΙΡΕΙΑ ΣΥΜΜΕΤΟΧΩΝ ΜΕΣΙΤΕΣ ΑΣΤΙΚΩΝ ΣΥΜΒΑΣΕΩΝ ΑΚΙΝΗΤΩΝ,N/A,N/A,['KAPODISTRIOU 90'],GR,14235,['KAPODISTRIOU 90'],GR,14235,RA000685,006103401000,GENERAL,GR,ACTIVE,2017-12-21T00:00:00Z
213800SMKIW6PCGH9X03,THE CRUICKSHANKS FAMILY SETTLEMENT 2010,N/A,N/A,"['EASTON HOUSE, THE PASTURES', 'REPTON']",GB,DE65 6GG,"['EASTON HOUSE, THE PASTURES', 'REPTON']",GB,DE65 6GG,RA999999,,GENERAL,GB,INACTIVE,2018-02-06T00:00:00Z
213800SMLHDAQWZT4C92,MRS P T YOUNGER SETT 7/,N/A,N/A,"['TRINITY QUAY', 'AVON STREET']",GB,BS2 0PT,"['TRINITY QUAY', 'AVON STREET']",GB,BS2 0PT,RA999999,,GENERAL,GB,ACTIVE,2017-10-26T00:00:00Z
213800SMLZHCSDRXQM67,GRAND US CREDIT BM FUND II,N/A,N/A,"['C/O MUFG FUND SERVICES (CAYMAN) LIMITED', 'MUFG HOUSE, 227 ELGIN AVENUE']",KY,KY1-1103,"['C/O MUFG FUND SERVICES (CAYMAN) LIMITED', 'MUFG HOUSE, 227 ELGIN AVENUE']",KY,KY1-1103,RA999999,,FUND,KY,ACTIVE,2023-02-03T00:00:00Z
213800SMLL3BGYW6KZ73,ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΜΠΑΧΛΙΤΖΑΝΑΚΙ ΑΕ,N/A,N/A,['KARAISKOU 147'],GR,18535,['KARAISKOU 147'],GR,18535,RA000685,044389607000,GENERAL,GR,ACTIVE,2024-01-26T00:00:00Z
213800SMMBAOXEEF9I09,LONGTERM LIMITED,N/A,N/A,"['THISTLE BARN', 'LITTLE PARK FARM STATION ROAD']",GB,MK45 2RE,"['THISTLE BARN', 'LITTLE PARK FARM STATION ROAD']",GB,MK45 2RE,RA000585,04088917,GENERAL,GB,INACTIVE,2018-03-08T00:00:00Z
213800SMKE17Z6QCPO58,ET PLAST ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΠΛΑΣΤΙΚΩΝ,N/A,N/A,['DEKELIAS 100'],GR,13671,['DEKELIAS 100'],GR,13671,RA000685,005720801000,GENERAL,GR,ACTIVE,2019-07-09T00:00:00Z
