LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
21380013B941YRZVY736,ESCHER MARWICK PLC,N/A,N/A,"['GROUND FLOOR, 45 PALL MALL']",GB,SW1Y 5JG,"['GROUND FLOOR, 45 PALL MALL']",GB,SW1Y 5JG,RA000585,10112860,GENERAL,GB,ACTIVE,2016-05-27T00:00:00Z
21380013BWISU9DHZZ09,CAPE TOURS LIMITED,N/A,N/A,"['C/O ROBERTS ACCOUNTANCY & TAX LIMITED', 'GABLE END SPAROW HALL BUSINESS PARK LEIGHTON ROAD EDLESBOROUGH, BEDS']",GB,LU6 2ES,"['8 POWELL HAVEN', 'MIDDLETON']",GB,MK10 9JT,RA000585,04050015,GENERAL,GB,ACTIVE,2014-02-06T00:00:00Z
21380013B1ZYPQZABU46,IMMOCA REAL ESTATE SA,N/A,N/A,['VIA NASSA 19'],CH,6900,['VIA NASSA 19'],CH,6900,RA000549,CHE-114.444.668,GENERAL,CH,ACTIVE,2016-09-27T00:00:00Z
21380013B4I9UDMIXW72,A DORMER 1951 SETTLEMENT,N/A,N/A,"['BARBER HARRISON & PLATT, 2 RUTLAND PARK']",GB,S10 2PD,"['BARBER HARRISON & PLATT, 2 RUTLAND PARK']",GB,S10 2PD,RA999999,,GENERAL,GB,ACTIVE,2017-12-15T00:00:00Z
21380013CXOR8N6OD977,FORESIGHT TECHNOLOGY VCT PLC,N/A,N/A,"['C/O FORESIGHT GROUP LLP', 'THE SHARD, 32 LONDON BRIDGE STREET']",GB,SE1 9SG,"['C/O FORESIGHT GROUP LLP', 'THE SHARD, 32 LONDON BRIDGE STREET']",GB,SE1 9SG,RA000585,07289280,GENERAL,GB,ACTIVE,2016-11-16T00:00:00Z
21380013BMDNDWHUP130,BYWEST LIMITED,N/A,N/A,"['8 WHITE OAK SQUARE, LONDON ROAD']",GB,BR8 7AG,"['8 WHITE OAK SQUARE, LONDON ROAD']",GB,BR8 7AG,RA000585,04076961,GENERAL,GB,ACTIVE,2014-02-10T00:00:00Z
21380013CSERQJ9M2D59,LIQUID CAPITAL MARKETS LTD,N/A,N/A,['43-45 Dorset Street'],GB,W1U 7NA,['43-45 Dorset Street'],GB,W1U 7NA,RA000585,03986148,GENERAL,GB,ACTIVE,2013-12-12T00:00:00Z
21380013BWTB31TTO417,DAVID ALAN HULIN DISCRETIONARY,N/A,N/A,"['TRINITY QUAY 2', 'AVON STREET']",GB,BS2 0PT,"['TRINITY QUAY 2', 'AVON STREET']",GB,BS2 0PT,RA999999,,GENERAL,GB,ACTIVE,2017-10-27T00:00:00Z
21380013BTWYDI1RU367,MOFFATT PENSION TRUST,N/A,N/A,"['C/O ALLTRUST SIPP LIMITED', 'FOUNTAIN HOUSE, FOUNTAIN LANE', 'ST MELLONS']",GB,CF3 0FB,"['C/O ALLTRUST SIPP LIMITED', 'FOUNTAIN HOUSE, FOUNTAIN LANE', 'ST MELLONS']",GB,CF3 0FB,RA999999,,GENERAL,GB,ACTIVE,2018-03-12T00:00:00Z
21380013BSPN5UTSCG82,WYMONDHAM ENTERPRISES LIMITED,N/A,N/A,"['INTERLINE HOUSE', '29-39 AYTON ROAD']",GB,NR18 0QQ,"['GALE CONSTRUCTION', '29-39 AYTON ROAD']",GB,NR18 0QQ,RA000585,01049038,GENERAL,GB,ACTIVE,2017-11-30T00:00:00Z
21380013E3NKIVRZJS54,D S WILLIAMSON DISCRETIONARY SETTLEMENT,N/A,N/A,"['PEARL COTTAGE', 'BARTON']",GB,DL10 6JQ,"['PEARL COTTAGE', 'BARTON']",GB,DL10 6JQ,RA999999,,GENERAL,GB,ACTIVE,2017-05-30T00:00:00Z
21380013DTVJHK4FGT49,THE R & K TUOMEY TRUST,N/A,N/A,['3 BARONSMEAD'],GB,RG9 2DL,['3 BARONSMEAD'],GB,RG9 2DL,RA999999,,GENERAL,GB,ACTIVE,2018-01-02T00:00:00Z
21380013EJS5GTWYTQ05,"SELECT PROFILE - CONSULTORIA E GESTÃO, LDA",N/A,N/A,"['AVENIDA DOUTOR MÁRIO MOUTINHO, 33 12ºA']",PT,1400-136,"['AVENIDA DOUTOR MÁRIO MOUTINHO, 33 12ºA']",PT,1400-136,RA000487,509551440,GENERAL,PT,ACTIVE,2018-11-13T00:00:00Z
