LEI,Legal Name,Parent LEI,Parent Name,Legal Address,Legal City,Legal Postal Code,HQ Address,HQ City,HQ Postal Code,Registration ID,Registered As,Category,Legal Jurisdiction,Entity Status,Registration Date
213800PLFPLXU49TV527,THE PENSIONEER TRUSTEE CO (GUERNSEY) THE COLBORNE RATS,N/A,N/A,"['GROUND FLOOR', '10 LEFEBVRE STREET']",GG,GY1 2PE,"['GROUND FLOOR', '10 LEFEBVRE STREET']",GG,GY1 2PE,RA999999,,GENERAL,GG,ACTIVE,2018-02-28T00:00:00Z
213800PLFRJ3VLSYQZ16,BASOLMA HOLDING LIMITED,N/A,N/A,"['THEMISTOKLES DERVI, 5', 'ELENION BUILDING']",CY,1066,"['THEMISTOKLES DERVI, 5', 'ELENION BUILDING']",CY,1066,RA000161,ΗΕ 342477,GENERAL,CY,ACTIVE,2018-01-24T00:00:00Z
213800PLGNHK7KVUM990,MISS M E KING WILL TRUST,N/A,N/A,"['C/O BURGES SALMON LLP', '1 GLASS WHARF']",GB,BS2 0ZX,"['C/O BURGES SALMON LLP', '1 GLASS WHARF']",GB,BS2 0ZX,RA999999,,GENERAL,GB,ACTIVE,2018-01-03T00:00:00Z
213800PLFMLU8TZSS493,NOMINA NO 188 LLP,N/A,N/A,"['5TH FLOOR', '40 GRACECHURCH STREET']",GB,EC3V 0BT,"['5TH FLOOR', '40 GRACECHURCH STREET']",GB,EC3V 0BT,RA000585,OC322548,GENERAL,GB,ACTIVE,2024-12-20T00:00:00Z
213800PLG4F7ZIPNFO88,VESTEY - E H MARRIAGE SETTLEMENT,N/A,N/A,"['C/O ALDER INVESTMENT MANAGEMENT LIMITED', ""1 KING'S ARMS YARD""]",GB,EC2R 7AF,"['C/O ALDER INVESTMENT MANAGEMENT LIMITED', ""1 KING'S ARMS YARD""]",GB,EC2R 7AF,RA999999,,GENERAL,GB,ACTIVE,2018-01-02T00:00:00Z
213800PLGXK2NUMVVS87,GLORIAMARIS LIMITED,N/A,N/A,"['AVENUE HOUSE', ""ST JULIAN'S AVENUE""]",GG,GY1 1WA,"['AVENUE HOUSE', ""ST JULIAN'S AVENUE""]",GG,GY1 1WA,RA000383,58315,GENERAL,GG,ACTIVE,2018-02-19T00:00:00Z
213800PLGP4HR5OUSA12,KERRY LOGISTICS (UK) LIMITED,N/A,N/A,"['BROADOAK INDUSTRIAL PARK', 'ASHBURTON ROAD WEST, TRAFFORD PARK']",GB,M17 1RW,"['16/F KERRY CARGO CENTRE', '55 WING KEI ROAD']",HK,,RA000585,01571804,GENERAL,GB,ACTIVE,2014-02-12T00:00:00Z
213800PLGT5A7ZTE7793,FAITH BUSINESS & MANAGEMENT ADVISORS DMCC,N/A,N/A,"['1800 DMCC BUSINESS CENTRE', 'LEVEL NO 1', 'Jewellery & Gemplex 3']",AE,00000,"['1800 DMCC BUSINESS CENTRE', 'LEVEL NO 1', 'Jewellery & Gemplex 3']",AE,00000,RA000573,JLT-69823,GENERAL,AE,ACTIVE,2020-04-22T00:00:00Z
213800PLG4SULTTYN483,RESONANCE RETIREMENT BENEFITS SCHEME,N/A,N/A,['105A Randolph Ave'],GB,W9 1DL,['105A Randolph Ave'],GB,W9 1DL,RA999999,,GENERAL,GB,ACTIVE,2017-12-02T00:00:00Z
213800PLGFQONRBTUN63,THE ROYAL FLEET CLUB DEVONPORT,N/A,N/A,"['FENNER BLOCK', 'HMS DRAKE', 'DEVONPORT']",GB,PL2 2BG,"['FENNER BLOCK', 'HMS DRAKE', 'DEVONPORT']",GB,PL2 2BG,RA000589,249107,GENERAL,GB,ACTIVE,2017-11-17T00:00:00Z
